"","av","bv","pv","av...bv"
"397",386,1615,0.79064475444227,2001
"398",370,1631,0.956932858785809,2001
"399",364,1637,0.980253352020861,2001
"400",408,1593,0.335837388688496,2001
"401",33,91,0.0409775885509632,124
"402",414,1587,0.224501730264263,2001
"403",369,1632,0.961901889365163,2001
"404",403,1598,0.442265675267753,2001
"405",407,1594,0.356364123020496,2001
"406",218,766,0.0491472294479252,984
"407",352,1649,0.997011876918116,2001
"408",414,1587,0.224501730264263,2001
"409",399,1602,0.531202753679491,2001
"410",389,1612,0.738774731153557,2001
"411",25,65,0.0419402543505645,90
"412",4,4,0.033344,8
"413",417,1584,0.177941128142563,2001
"414",366,1635,0.974086344564561,2001
"415",386,1615,0.79064475444227,2001
"416",387,1614,0.774052990060254,2001
"417",427,1574,0.0701076406197665,2001
"418",18,42,0.0365086448232245,60
"419",378,1623,0.896380143391661,2001
"420",111,367,0.0438544936341723,478
"421",398,1603,0.553402044504241,2001
"422",13,28,0.0432416223763238,41
"423",401,1600,0.486623333352149,2001
"424",374,1627,0.93167249535299,2001
"425",145,493,0.0468056340894749,638
"426",379,1622,0.885800682640244,2001
"427",368,1633,0.966395939080314,2001
"428",404,1597,0.420341167570075,2001
"429",420,1581,0.138053662080905,2001
"430",388,1613,0.756753824871251,2001
"431",12,25,0.0424277233054444,37
"432",6,7,0.019405279232,13
"433",216,759,0.0499860079131131,975
"434",386,1615,0.79064475444227,2001
"435",392,1609,0.681112660554043,2001
"436",64,200,0.0489363652301525,264
"437",387,1614,0.774052990060254,2001
"438",416,1585,0.192728522957567,2001
"439",398,1603,0.553402044504241,2001
"440",10,20,0.0492635173042126,30
"441",411,1590,0.277389055861765,2001
"442",128,430,0.0458211065731625,558
"443",373,1628,0.938857405627559,2001
"444",384,1617,0.821623439477988,2001
"445",398,1603,0.553402044504241,2001
"446",352,1270,0.0460839393533672,1622
"447",400,1601,0.508920006874197,2001
"448",401,1600,0.486623333352149,2001
"449",7,10,0.026657331511296,17
"450",4,4,0.033344,8
"451",404,1597,0.420341167570075,2001
"452",5,6,0.0327934976,11
"453",10,19,0.0390707319727963,29
"454",392,1609,0.681112660554043,2001
"455",398,1603,0.553402044504241,2001
"456",392,1609,0.681112660554043,2001
"457",397,1604,0.575449000831754,2001
"458",387,1614,0.774052990060254,2001
"459",397,1604,0.575449000831754,2001
"460",218,763,0.0443446934055994,981
"461",6,9,0.04385438056448,15
"462",387,1614,0.774052990060254,2001
"463",388,1613,0.756753824871251,2001
"464",409,1592,0.315801182934282,2001
"465",28,75,0.0432225277431368,103
"466",370,1631,0.956932858785809,2001
"467",64,199,0.0457308758128248,263
"468",377,1624,0.906236055071354,2001
"469",397,1604,0.575449000831754,2001
"470",386,1615,0.79064475444227,2001
"471",377,1624,0.906236055071354,2001
"472",16,37,0.0435687163713392,53
"473",148,505,0.04867595341813,653
"474",382,1619,0.849578467874578,2001
"475",404,1597,0.420341167570075,2001
"476",26,69,0.0459687729205064,95
"477",379,1622,0.885800682640244,2001
"478",387,1614,0.774052990060254,2001
"479",391,1610,0.700913486690339,2001
"480",7,11,0.0376634429053338,18
"481",27,70,0.0350942857958437,97
"482",12,24,0.0343574006954931,36
"483",405,1596,0.398674435643595,2001
"484",6,9,0.04385438056448,15
"485",379,1622,0.885800682640244,2001
"486",9,16,0.0361749880288391,25
"487",398,1603,0.553402044504241,2001
"488",394,1607,0.640010194963003,2001
"489",5,5,0.01958144,10
"490",20,50,0.0476132907541665,70
"491",399,1602,0.531202753679491,2001
"492",397,1604,0.575449000831754,2001
"493",130,436,0.0430915756167842,566
"494",398,1603,0.553402044504241,2001
"495",357,1644,0.993069277940697,2001
"496",421,1580,0.126243645856816,2001
"497",400,1601,0.508920006874197,2001
"498",417,1584,0.177941128142563,2001
"499",95,311,0.0488056966558816,406
"500",414,1587,0.224501730264263,2001
"501",5,6,0.0327934976,11
"502",399,1602,0.531202753679491,2001
"503",355,1646,0.995002593643344,2001
"504",414,1587,0.224501730264263,2001
"505",420,1581,0.138053662080905,2001
"506",10,20,0.0492635173042126,30
"507",397,1604,0.575449000831754,2001
"508",395,1606,0.618817486564757,2001
"509",31,86,0.0486757428620087,117
"510",425,1576,0.0861425601694875,2001
"511",23,57,0.0338882159315505,80
"512",284,1014,0.0483442553702057,1298
"513",401,1600,0.486623333352149,2001
"514",7,10,0.026657331511296,17
"515",4,4,0.033344,8
"516",4,4,0.033344,8
"517",43,126,0.0460813181530612,169
"518",350,1262,0.0455918477173551,1612
"519",398,1603,0.553402044504241,2001
"520",377,1624,0.906236055071354,2001
"521",19,47,0.0486461033380289,66
"522",405,1596,0.398674435643595,2001
"523",80,257,0.0489405295711364,337
"524",377,1624,0.906236055071354,2001
"525",44,130,0.0483665721058523,174
"526",395,1606,0.618817486564757,2001
"527",397,1604,0.575449000831754,2001
"528",386,1615,0.79064475444227,2001
"529",378,1623,0.896380143391661,2001
"530",384,1617,0.821623439477988,2001
"531",381,1620,0.862410181386441,2001
"532",121,405,0.0472123462117603,526
"533",27,73,0.0499788232948057,100
"534",74,235,0.0473425300454946,309
"535",12,24,0.0343574006954931,36
"536",400,1601,0.508920006874197,2001
"537",402,1599,0.464382262507213,2001
"538",398,1603,0.553402044504241,2001
"539",24,63,0.048800468484264,87
"540",396,1605,0.597276037395401,2001
"541",397,1604,0.575449000831754,2001
"542",74,233,0.0417190307208844,307
"543",380,1621,0.874481497060562,2001
"544",377,1624,0.906236055071354,2001
"545",387,1614,0.774052990060254,2001
"546",398,1603,0.553402044504241,2001
"547",409,1592,0.315801182934282,2001
"548",384,1617,0.821623439477988,2001
"549",408,1593,0.335837388688496,2001
"550",382,1619,0.849578467874578,2001
"551",261,928,0.0495821223509467,1189
"552",385,1616,0.806507097603778,2001
"553",396,1605,0.597276037395401,2001
"554",404,1597,0.420341167570075,2001
"555",392,1609,0.681112660554043,2001
"556",401,1600,0.486623333352149,2001
"557",405,1596,0.398674435643595,2001
"558",412,1589,0.259095552284785,2001
"559",396,1605,0.597276037395401,2001
"560",398,1603,0.553402044504241,2001
"561",67,209,0.043937620172762,276
"562",381,1383,0.0493514222081931,1764
"563",400,1601,0.508920006874197,2001
"564",391,1610,0.700913486690339,2001
"565",413,1588,0.241456973896543,2001
"566",22,56,0.0454057963221445,78
"567",407,1594,0.356364123020496,2001
"568",384,1617,0.821623439477988,2001
"569",225,791,0.0471170630402208,1016
"570",400,1601,0.508920006874197,2001
"571",74,234,0.0444627730936091,308
"572",394,1607,0.640010194963003,2001
"573",392,1609,0.681112660554043,2001
"574",5,6,0.0327934976,11
"575",376,1625,0.915387973059641,2001
"576",30,81,0.040585407063979,111
"577",394,1607,0.640010194963003,2001
"578",372,1629,0.945442102267396,2001
"579",405,1596,0.398674435643595,2001
"580",388,1613,0.756753824871251,2001
"581",370,1631,0.956932858785809,2001
"582",15,34,0.043732556635041,49
"583",406,1595,0.377328692338248,2001
"584",127,427,0.0472495215614334,554
"585",402,1599,0.464382262507213,2001
"586",374,1627,0.93167249535299,2001
"587",399,1602,0.531202753679491,2001
"588",23,57,0.0338882159315505,80
